,Made Donation in March 2007
659,0.454670285
276,0.090796954
263,0.291415393
303,0.294100816
83,0.491606411
500,0.743943972
530,0.318507315
244,0.120634969
249,0.016006163
728,0.072291023
129,0.157264496
534,0.137224562
317,0.267218292
401,0.291415393
696,0.284440579
192,0.160157381
176,0.21450574
571,0.423662503
139,0.069362206
423,0.291380805
563,0.40036556
56,0.303974141
528,0.349395563
101,0.291415393
467,0.248374221
382,0.305312923
466,0.327408558
294,0.120634969
512,0.296476148
659,0.454670285
389,0.325045105
487,0.031784622
701,0.338734788
419,0.244935713
536,0.183022813
240,0.227121871
508,0.211456654
515,0.120634969
283,0.332338041
650,0.291415393
65,0.358746912
228,0.127673946
741,0.058341783
297,0.352338677
464,0.113201112
63,0.338734788
231,0.332982583
28,0.1056867
248,0.120634969
357,0.14954129
300,0.496079261
726,0.644042862
680,0.145088682
520,0.288394262
254,0.041297047
582,0.17916444
143,0.214689022
98,0.375510845
1,0.286634133
221,0.496201635
352,0.291415393
64,0.112466373
138,0.2576709
745,0.379037179
64,0.112466373
688,0.091392145
623,0.107458364
289,0.164598522
174,0.308958023
690,0.291415393
105,0.168416019
427,0.123980314
48,0.009742979
14,0.291415393
657,0.041428976
301,0.13287874
455,0.119139039
579,0.27434997
722,0.104788965
98,0.375510845
491,0.009742979
303,0.294100816
466,0.327408558
65,0.358746912
300,0.496079261
9,0.05980665
622,0.160157381
323,0.093055981
289,0.164598522
568,0.322801447
290,0.291415393
156,0.152565312
464,0.113201112
426,0.111240372
306,0.202740879
4,0.279041259
12,0.324246414
187,0.24698367
406,0.055225988
96,0.318507315
509,0.338734788
733,0.130563307
548,0.059014399
478,0.225664361
501,0.164028972
127,0.387897358
199,0.196982179
299,0.404875039
162,0.291415393
235,0.11439032
23,0.190198967
473,0.291415393
487,0.031784622
683,0.392143811
303,0.294100816
309,0.039134801
569,0.04858891
34,0.361764195
686,0.600343971
84,0.277193747
733,0.130563307
537,0.432351576
181,0.153155597
453,0.796092926
67,0.391611265
161,0.450714864
307,0.262307355
703,0.178114005
181,0.153155597
246,0.134872009
316,0.331865518
278,0.160157381
346,0.185665724
545,0.291415393
419,0.244935713
694,0.318507315
622,0.160157381
663,0.065707447
262,0.578000126
461,0.263508797
373,0.898999283
233,0.291415393
466,0.327408558
207,0.214689022
263,0.291415393
16,0.04858891
513,0.049728658
449,0.284471201
429,0.030155774
701,0.338734788
632,0.046327656
529,0.496074866
245,0.260995478
344,0.117624255
353,0.118355363
241,0.309541639
633,0.099211807
624,0.338734788
726,0.644042862
189,0.160157381
138,0.2576709
402,0.120634969
511,0.353385631
590,0.367288208
334,0.201452786
447,0.068765103
119,0.327408558
389,0.325045105
644,0.291415393
423,0.291380805
131,0.04858891
405,0.007837245
82,0.291415393
643,0.937076561
156,0.152565312
617,0.055882992
574,0.366294497
272,0.27435518
613,0.087540946
545,0.291415393
685,0.120634969
570,0.173749692
537,0.432351576
691,0.099211807
85,0.455308486
483,0.134872009
455,0.119139039
93,0.160157381
744,0.338734788
33,0.134872009
321,0.718973187
523,0.224790061
426,0.111240372
196,0.103709556
301,0.13287874
103,0.099211807
224,0.064958749
454,0.075452482
585,0.049923805
154,0.328536941
