S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,7259453.024965454
79074,2016,5,1,Argentina,22169113.83249607
79075,2016,6,1,Argentina,7259453.024965454
79076,2016,7,1,Argentina,6557373.636314299
79077,2016,8,1,Argentina,6506176.158250671
79078,2016,9,1,Argentina,3546032.869310409
79079,2016,10,1,Argentina,13110355.643100202
79080,2016,11,1,Argentina,13059158.165036574
79081,2016,12,1,Argentina,13110355.643100202
79082,2017,1,1,Argentina,2055018.4907486534
79083,2017,2,1,Argentina,2106215.9688122817
79084,2017,3,1,Argentina,5713209.949844851
79085,2016,4,2,Argentina,4473607.88320076
79086,2016,5,2,Argentina,4473607.88320076
79087,2016,6,2,Argentina,4473607.88320076
79088,2016,7,2,Argentina,3720331.016485977
79089,2016,8,2,Argentina,3720331.016485977
79090,2016,9,2,Argentina,1041982.9087601543
79091,2016,10,2,Argentina,3352150.95844866
79092,2016,11,2,Argentina,4574339.824869884
79093,2016,12,2,Argentina,4574339.824869884
79094,2017,1,2,Argentina,1624015.5333657092
79095,2017,2,2,Argentina,1624015.5333657092
79096,2017,3,2,Argentina,4473607.88320076
79097,2017,1,3,Argentina,138121.64737913612
79098,2017,2,3,Argentina,138121.64737913612
79099,2017,3,3,Argentina,3796313.1064753337
79100,2016,4,2,Belgium,1513089.6237698062
79101,2016,5,2,Belgium,878951.3797070672
79102,2016,6,2,Belgium,1513089.6237698062
79103,2016,7,2,Belgium,878951.3797070672
79104,2016,8,2,Belgium,878951.3797070672
79105,2016,9,2,Belgium,562102.2136067498
79106,2016,10,2,Belgium,980539.0225497299
79107,2016,11,2,Belgium,980539.0225497299
79108,2016,12,2,Belgium,980539.0225497299
79109,2017,1,2,Belgium,1513089.6237698062
79110,2017,2,2,Belgium,878951.3797070672
79111,2017,3,2,Belgium,569560.1164882156
79112,2016,4,1,Columbia,3171555.2288238765
79113,2016,5,1,Columbia,2390251.739472443
79114,2016,6,1,Columbia,3171555.2288238765
79115,2016,7,1,Columbia,2390251.739472443
79116,2016,8,1,Columbia,2390251.739472443
79117,2016,9,1,Columbia,931895.6481018616
79118,2016,10,1,Columbia,1016067.8832534205
79119,2016,11,1,Columbia,1016067.8832534205
79120,2016,12,1,Columbia,1016067.8832534205
79121,2017,1,1,Columbia,2390251.739472443
79122,2017,2,1,Columbia,2390251.739472443
79123,2017,3,1,Columbia,3171555.2288238765
79124,2016,4,2,Columbia,3787705.070352517
79125,2016,5,2,Columbia,3787705.070352517
79126,2016,6,2,Columbia,3787705.070352517
79127,2016,7,2,Columbia,3787705.070352517
79128,2016,8,2,Columbia,3787705.070352517
79129,2016,9,2,Columbia,1621097.6515009732
79130,2016,10,2,Columbia,3578879.4160763863
79131,2016,11,2,Columbia,3578879.4160763863
79132,2016,12,2,Columbia,3578879.4160763863
79133,2017,1,2,Columbia,1694324.8119482133
79134,2017,2,2,Columbia,1694324.8119482133
79135,2017,3,2,Columbia,3787705.070352517
79136,2017,1,3,Columbia,205308.83517963055
79137,2017,2,3,Columbia,205308.83517963055
79138,2017,3,3,Columbia,205308.83517963055
79139,2016,4,2,Denmark,40820435.80918191
79140,2016,5,2,Denmark,40820435.80918191
79141,2016,6,2,Denmark,40820435.80918191
79142,2016,7,2,Denmark,36242679.718405485
79143,2016,8,2,Denmark,36242679.718405485
79144,2016,9,2,Denmark,18892795.65487491
79145,2016,10,2,Denmark,28405920.950601075
79146,2016,11,2,Denmark,28405920.950601075
79147,2016,12,2,Denmark,28405920.950601075
79148,2017,1,2,Denmark,15388694.646786368
79149,2017,2,2,Denmark,15388694.646786368
79150,2017,3,2,Denmark,37261106.10453452
79151,2015,11,5,England,534840.7880615591
79152,2015,12,5,England,553753.9169784483
79153,2016,1,5,England,436511.77126175584
79154,2016,2,5,England,422570.3790040458
79155,2016,3,5,England,553753.9169784483
79156,2016,4,5,England,534840.7880615591
79157,2016,5,5,England,534840.7880615591
79158,2016,6,5,England,553753.9169784483
79159,2016,7,5,England,488631.45304515975
79160,2015,11,4,England,158575.51012575562
79161,2015,12,4,England,196951.78047046947
79162,2016,1,4,England,156546.0412708493
79163,2016,2,4,England,156546.0412708493
79164,2016,3,4,England,156546.0412708493
79165,2016,4,4,England,156546.0412708493
79166,2016,5,4,England,156546.0412708493
79167,2016,6,4,England,156546.0412708493
79168,2016,7,4,England,156546.0412708493
79169,2015,11,4,Finland,6704904.422284954
79170,2015,12,4,Finland,6705083.64634433
79171,2016,1,4,Finland,18577982.736016694
79172,2016,2,4,Finland,18577982.736016694
79173,2016,3,4,Finland,19330437.769136447
79174,2016,4,4,Finland,18577982.736016694
79175,2016,5,4,Finland,18577982.736016694
79176,2016,6,4,Finland,18577982.736016694
79177,2016,7,4,Finland,18577160.902421664
