id_accs,id_prop
0012A00002AXHJUQA5,a0I2A00000XQNHZUA5
0012A00002AXHJUQA5,a0I2A00000XuQKYUA3
0012A00002AXHJUQA5,a0I2A00000XuNwYUAV
0012A00002AXHJUQA5,a0I2A00000XwMJHUA3
0012A00002AXHJUQA5,a0I2A00000XwPqfUAF
0012A00002AXHJUQA5,a0I2A00000XQIYfUAP
0012A00002AXHJUQA5,a0I2A00000XQJEbUAP
0012A00002AXHJUQA5,a0I2A00000XQMBQUA5
0012A00002AXHJUQA5,a0I2A00000XQNjuUAH
0012A00002AXHJUQA5,a0I2A00000XQPBsUAP
0012A000023XlWaQAK,a0I2A00000XQLHzUAP
0012A000023XlWaQAK,a0I2A00000ZGJX9UAP
0012A000023XlWaQAK,a0I2A00000XuPcoUAF
0012A000023XlWaQAK,a0I2A00000XQJuUUAX
0012A000023XlWaQAK,a0I2A00000XQMRJUA5
0012A000023XlWaQAK,a0I2A00000XQNkEUAX
0012A000023XlWaQAK,a0I2A00000XQOQiUAP
0012A000023XlWaQAK,a0I2A00000XQONFUA5
0012A000023XlWaQAK,a0I2A00000XQPKRUA5
0012A000023XlWaQAK,a0I2A00000XQPPoUAP
0012A000023Y4bYQAS,a0I2A00000XQLHzUAP
0012A000023Y4bYQAS,a0I2A00000ZGJX9UAP
0012A000023Y4bYQAS,a0I2A00000XuPcoUAF
0012A000023Y4bYQAS,a0I2A00000XQJuUUAX
0012A000023Y4bYQAS,a0I2A00000XQMRJUA5
0012A000023Y4bYQAS,a0I2A00000XQNkEUAX
0012A000023Y4bYQAS,a0I2A00000XQOQiUAP
0012A000023Y4bYQAS,a0I2A00000XQONFUA5
0012A000023Y4bYQAS,a0I2A00000XQPKRUA5
0012A000023Y4bYQAS,a0I2A00000XQPPoUAP
0012A000023XlbuQAC,a0I2A00000ZGD1GUAX
0012A000023XlbuQAC,a0I2A00000XQHOPUA5
0012A000023XlbuQAC,a0I2A00000XQNKSUA5
0012A000023XlbuQAC,a0I2A00000XQNL7UAP
0012A000023XlbuQAC,a0I2A00000XQNXzUAP
0012A000023XlbuQAC,a0I2A00000XQOy6UAH
0012A000023XlbuQAC,a0I2A00000XQQKCUA5
0012A000023XlbuQAC,a0I2A00000XQU13UAH
0012A000023XlbuQAC,a0I2A00000XQVjDUAX
0012A000023XlbuQAC,a0I2A00000XQXXPUA5
0012A000023Xlh9QAC,a0I2A00000YG1q9UAD
0012A000023Xlh9QAC,a0I2A00000XuIzJUAV
0012A000023Xlh9QAC,a0I2A00000XQe2RUAT
0012A000023Xlh9QAC,a0I2A00000XuY7XUAV
0012A000023Xlh9QAC,a0I2A00000XQI3uUAH
0012A000023Xlh9QAC,a0I2A00000XQJ2HUAX
0012A000023Xlh9QAC,a0I2A00000XQJEZUA5
0012A000023Xlh9QAC,a0I2A00000XQJCAUA5
0012A000023Xlh9QAC,a0I2A00000XQJLQUA5
0012A000023Xlh9QAC,a0I2A00000XQJnWUAX
0012A000023XlhdQAC,a0I2A00000XQWQhUAP
0012A000023XlhdQAC,a0I2A00000XQWllUAH
0012A000023XlhdQAC,a0I2A00000XQd96UAD
0012A000023XlhdQAC,a0I2A00000XQcWpUAL
0012A000023XlhdQAC,a0I2A00000XuSmbUAF
0012A000023XlhdQAC,a0I2A00000ZGMfLUAX
0012A000023XlhdQAC,a0I2A00000XQbZQUA1
0012A000023XlhdQAC,a0I2A00000ZGYJPUA5
0012A000023XlhdQAC,a0I2A00000ZGYJbUAP
0012A000023XlhdQAC,a0I2A00000ZGYLJUA5
0012A000023XlkNQAS,a0I2A00000Y5ltBUAR
0012A000023XlkNQAS,a0I2A00000XwVw8UAF
0012A000023XlkNQAS,a0I2A00000XwOIEUA3
0012A000023XlkNQAS,a0I2A00000ZGJz9UAH
0012A000023XlkNQAS,a0I2A00000XQdICUA1
0012A000023XlkNQAS,a0I2A00000XuYntUAF
0012A000023XlkNQAS,a0I2A00000XQM42UAH
0012A000023XlkNQAS,a0I2A00000XQSg6UAH
0012A000023XlkNQAS,a0I2A00000XQT7WUAX
0012A000023XlkNQAS,a0I2A00000XQZvuUAH
0012A000023XlnWQAS,a0I2A00000YHGlPUAX
0012A000023XlnWQAS,a0I2A00000XQSpCUAX
0012A000023XlnWQAS,a0I2A00000XQa7DUAT
0012A000023XlnWQAS,a0I2A00000XQa7OUAT
0012A000023XlnWQAS,a0I2A00000XQan1UAD
0012A000023XlnWQAS,a0I2A00000XQar6UAD
0012A000023XlnWQAS,a0I2A00000XQc0yUAD
0012A000023XlnWQAS,a0I2A00000XQdqsUAD
0012A000023XlnWQAS,a0I2A00000XQfssUAD
0012A000023XlnWQAS,a0I2A00000XQg03UAD
0012A000023XlnqQAC,a0I2A00000XQQe8UAH
0012A000023XlnqQAC,a0I2A00000XwfdjUAB
0012A000023XlnqQAC,a0I2A00000Y6QLJUA3
0012A000023XlnqQAC,a0I2A00000ZGADmUAP
0012A000023XlnqQAC,a0I2A00000ZGdzqUAD
0012A000023XlnqQAC,a0I2A00000XuWzdUAF
0012A000023XlnqQAC,a0I2A00000XQGzeUAH
0012A000023XlnqQAC,a0I2A00000XQKxoUAH
0012A000023XlnqQAC,a0I2A00000XQL0cUAH
0012A000023XlnqQAC,a0I2A00000XQKjcUAH
0012A000023Xp5LQAS,a0I2A00000YrYBoUAN
0012A000023Xp5LQAS,a0I2A00000XQjb1UAD
0012A000023Xp5LQAS,a0I2A00000XuKMdUAN
0012A000023Xp5LQAS,a0I2A00000XuKnOUAV
0012A000023Xp5LQAS,a0I2A00000XuQMaUAN
0012A000023Xp5LQAS,a0I2A00000XwQwvUAF
0012A000023Xp5LQAS,a0I2A00000Xxm7iUAB
0012A000023Xp5LQAS,a0I2A00000XxmvOUAR
0012A000023Xp5LQAS,a0I2A00000Xxn3KUAR
0012A000023Xm35QAC,a0I2A00000YG1q9UAD
0012A000023Xm35QAC,a0I2A00000XuIzJUAV
0012A000023Xm35QAC,a0I2A00000XQe2RUAT
0012A000023Xm35QAC,a0I2A00000XuY7XUAV
0012A000023Xm35QAC,a0I2A00000XQI3uUAH
0012A000023Xm35QAC,a0I2A00000XQJ2HUAX
0012A000023Xm35QAC,a0I2A00000XQJEZUA5
0012A000023Xm35QAC,a0I2A00000XQJCAUA5
0012A000023Xm35QAC,a0I2A00000XQJLQUA5
0012A000023Xm35QAC,a0I2A00000XQJnWUAX
0012A000023YB67QAG,a0I2A00000XuGIBUA3
0012A000023YB67QAG,a0I2A00000YGQriUAH
0012A000023YB67QAG,a0I2A00000YFt4KUAT
0012A000023YB67QAG,a0I2A00000XxRG4UAN
0012A000023YB67QAG,a0I2A00000XQGRhUAP
0012A000023YB67QAG,a0I2A00000XQLCiUAP
