id_accs,id_prop
0012A00002AXHJUQA5,a0I2A00000XQK6eUAH
0012A00002AXHJUQA5,a0I2A00000XQLl6UAH
0012A00002AXHJUQA5,a0I2A00000XQHOSUA5
0012A00002AXHJUQA5,a0I2A00000XQKIoUAP
0012A00002AXHJUQA5,a0I2A00000XQK9aUAH
0012A00002AXHJUQA5,a0I2A00000XQI0sUAH
0012A00002AXHJUQA5,a0I2A00000XQJ6dUAH
0012A00002AXHJUQA5,a0I2A00000XQIhhUAH
0012A00002AXHJUQA5,a0I2A00000XQIGoUAP
0012A00002AXHJUQA5,a0I2A00000XQIZ3UAP
0012A00002AXHJUQA5,a0I2A00000XQKh5UAH
0012A00002AXHJUQA5,a0I2A00000XQLk0UAH
0012A00002AXHJUQA5,a0I2A00000XQKkSUAX
0012A00002AXHJUQA5,a0I2A00000XQI6lUAH
0012A000023XlWaQAK,a0I2A00000XQHOjUAP
0012A000023XlWaQAK,a0I2A00000XQKDtUAP
0012A000023XlWaQAK,a0I2A00000XQIYWUA5
0012A000023XlWaQAK,a0I2A00000XQI3oUAH
0012A000023XlWaQAK,a0I2A00000XQL2WUAX
0012A000023XlWaQAK,a0I2A00000XQHYZUA5
0012A000023XlWaQAK,a0I2A00000XQJCQUA5
0012A000023XlWaQAK,a0I2A00000XQIrIUAX
0012A000023Y4bYQAS,a0I2A00000XQHOjUAP
0012A000023Y4bYQAS,a0I2A00000XQKDtUAP
0012A000023Y4bYQAS,a0I2A00000XQIYWUA5
0012A000023Y4bYQAS,a0I2A00000XQI3oUAH
0012A000023Y4bYQAS,a0I2A00000XQL2WUAX
0012A000023Y4bYQAS,a0I2A00000XQHYZUA5
0012A000023Y4bYQAS,a0I2A00000XQJCQUA5
0012A000023Y4bYQAS,a0I2A00000XQIrIUAX
0012A000023XlbuQAC,a0I2A00000XQMADUA5
0012A000023XlbuQAC,a0I2A00000XQKqWUAX
0012A000023XlbuQAC,a0I2A00000XQLa1UAH
0012A000023XlbuQAC,a0I2A00000XQM0OUAX
0012A000023XlbuQAC,a0I2A00000XQKnhUAH
0012A000023XlbuQAC,a0I2A00000XQJmRUAX
0012A000023XlbuQAC,a0I2A00000XQKfdUAH
0012A000023XlbuQAC,a0I2A00000XQJbHUAX
0012A000023XlbuQAC,a0I2A00000XQLidUAH
0012A000023XlbuQAC,a0I2A00000XQKAaUAP
0012A000023XlbuQAC,a0I2A00000XQJvNUAX
0012A000023XlbuQAC,a0I2A00000XQKx7UAH
0012A000023XlbuQAC,a0I2A00000XQK4sUAH
0012A000023XlbuQAC,a0I2A00000XQHiGUAX
0012A000023XlbuQAC,a0I2A00000XQJVqUAP
0012A000023XlbuQAC,a0I2A00000XQHl3UAH
0012A000023XlbuQAC,a0I2A00000XQLAnUAP
0012A000023XlbuQAC,a0I2A00000XQLbYUAX
0012A000023XlbuQAC,a0I2A00000XQKubUAH
0012A000023XlbuQAC,a0I2A00000XQKBoUAP
0012A000023XlbuQAC,a0I2A00000XQGNhUAP
0012A000023XlbuQAC,a0I2A00000XQIaYUAX
