Employee ID,Leave_Start_Date,Leave_End_Date,Date of joining the company,Type of Leave,Reason of Leave,Department/Team,Position in team,Application Status
818,06-04-2017,06-04-2017,21-02-2017,Earned Leave Intern COE,submission,Not Available,Forex Intern,Approved
818,31-03-2017,31-03-2017,21-02-2017,Earned Leave Intern COE,personal work,Not Available,Forex Intern,Approved
818,24-04-2017,27-04-2017,21-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,EXAM,Not Available,Forex Intern,Approved
818,28-04-2017,28-04-2017,21-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Family function (sister Engagement),Not Available,Forex Intern,Approved
818,20-03-2017,23-03-2017,21-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,EXAMS,Not Available,Forex Intern,Approved
187,01-03-2017,01-03-2017,09-05-2016,Earned Leave Confirmed COE,Personal Reason,null,Trainee Dealer,Approved
187,08-02-2017,08-02-2017,09-05-2016,Earned Leave Confirmed COE,Personal reason,null,Trainee Dealer,Rejected
187,17-01-2017,17-01-2017,09-05-2016,Earned Leave Confirmed COE,Personal reason,null,Trainee Dealer,Pending
187,02-04-2017,08-06-2017,09-05-2016,Leave Without Pay LWP Confirmed SixCap Mumbai COE,Examinations in the month of June ,null,Trainee Dealer,Pending
668,10-04-2017,10-04-2017,09-02-2017,Earned Leave Intern COE,I am engineering student and my last semester pursuing so I have Submission in my college. ,Not Available,Forex Intern,Approved
668,17-04-2017,17-04-2017,09-02-2017,Earned Leave Intern COE,I was out of state and not able to reach on time due to transportation issue.,Not Available,Forex Intern,Approved
668,07-03-2017,07-03-2017,09-02-2017,Earned Leave Intern COE, I am engineering student and my last semester is pursuing so i have a internal exam.,Not Available,Forex Intern,Approved
668,08-03-2017,08-03-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern, I am engineering student and my last semester is pursuing so i have a internal exam.,Not Available,Forex Intern,Approved
668,16-03-2017,16-03-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Project Presentation in College because i m engineering student and my last semester is pursuing.,Not Available,Forex Intern,Approved
668,17-03-2017,17-03-2017,09-02-2017,Leave Without Pay for SixCap Mumbai COE Intern,Project Presentation in College because i m engineering student and my last semester is pursuing.,Not Available,Forex Intern,Approved
