Employee.ID,March_2017,April_2017,May_2017
FXI101,-130.10,-341.40,-172.10
FXI147,-144.10,-121.50,-131.30
FXI137,-179.30,-101.70,-30.70
FXI140,-202.40,-143.20,-53.40
FXI153,-90.50,-78.50,-47.90
FXI159,-154.20,-227.00,-84.40
FXI158,-231.90,-107.40,-114.00
FXI162,-92.60,-91.50,-99.50
FXI160,-119.20,-212.70,-151.50
FXI169,-95.90,-169.50,-148.70
FXI166,-49.00,-206.80,-115.40
FXI165,-104.10,-217.40,-176.50
FXI168,-56.60,-140.20,-248.10
FXI179,-89.10,-137.30,-339.20
FXI177,-87.50,-73.50,-107.10
FXI185,-163.00,-263.10,-192.80
FXI174,-59.00,-86.00,-189.90
FXI175,-108.40,-60.00,-237.40
FXI181,-86.10,-89.10,-158.50
FXI183,-76.00,-180.50,-439.90
FXI178,-120.90,-193.90,-205.00
FXI173,-152.70,-217.10,-458.00
FXI176,-95.20,-106.00,-68.00
FXI190,-76.70,-125.50,-188.70
FXI189,9.50,-116.80,-79.10
FXI201,-155.40,-190.50,-319.70
FXI193,-44.60,-141.90,-53.00
FXI203,-88.50,-159.00,-119.40
FXI191,-40.20,-136.40,-72.90
FXI204,-43.90,-82.00,-42.40
FXI195,-164.40,-321.20,-345.70
FXI209,-185.70,-241.10,-204.10
FXI216,-35.00,-185.00,-207.60
FXI224,-143.80,-272.50,-310.20
FXI222,-160.80,-278.40,-170.90
FXI221,-110.50,-132.40,-108.90
FXI231,-,-,-
FXI228,-,-,-
FXI245,-72.50,-60.50,-95.80
FXI262,-89.40,-98.50,-197.50
FXI264,-59.00,-160.30,-224.20
FXI265,-154.10,-258.80,-143.90
FXI271,-86.80,-73.00,-136.30
FXI293,-87.70,-183.20,-221.00
FXI171,-64.40,-137.60,-61.50
FXI172,-40.70,-101.50,-77.70
FXI167,-115.90,-183.90,-109.40
FXI184,-77.90,-127.00,-94.00
FXI187,-46.30,-131.70,-48.10
FXI188,-44.10,-52.80,-76.70
FXI199,-96.40,-147.90,-100.70
FXI200,-50.30,-208.30,-267.80
FXI196,-64.50,-156.50,-99.90
FXI202,-128.00,-191.50,-56.70
FXI206,-115.10,-117.10,-53.00
FXI205,-110.20,-162.10,-132.90
FXI164,-103.00,-112.10,-117.50
FXI180,-116.10,-221.10,-15.80
FXI212,-104.10,-116.30,-135.90
FXI211,-110.40,-109.00,-135.40
FXI214,-52.80,-71.20,-101.10
FXI215,-63.10,-50.70,-84.80
FXI210,-87.30,-288.50,-421.50
FXI217,-71.90,-52.30,-77.30
FXI161,-107.20,-71.60,-196.60
FXI192,-9.80,-122.20,-67.80
FXI197,-105.10,-117.30,-122.40
FXI220,-102.70,-143.10,-80.60
FXI223,-41.40,-172.80,-180.70
FXI230,-8.50,-208.30,-98.60
FXI229,-39.70,-97.80,-73.20
FXI241,-65.80,-159.20,-111.50
FXI246,-113.40,-107.80,-57.80
FXI244,-39.40,-119.60,-221.60
FXI242,-93.70,-110.50,-88.80
FXI243,-147.60,-84.60,-80.20
FXI253,-12.30,-47.60,-116.60
FXI263,-106.00,-85.40,-72.10
FXI280,-39.50,-150.10,-62.40
FXI292,-118.20,-117.90,-59.40
FXI294,-53.30,-74.10,-180.10
FXI298,-73.80,-83.50,-114.40
FXI299,-54.40,-126.90,-95.10
