"Employee.ID","Designation","Type.of.Leave_Absent","Type.of.Leave_Casual Leave","Type.of.Leave_Casual Leave Confirmed COE","Type.of.Leave_Earned Leave","Type.of.Leave_Earned Leave Confirmed COE","Type.of.Leave_LWP","Type.of.Leave_Sick Leave","Leave.applied.for.no..of.days","Leave.Dates.From","Leave.Dates.to","Date.of.joining.the.company","Status.of.Leave_Absent","Status.of.Leave_Approved","Status.of.Leave_Rejected","Leave.Dates.From.Date","Leave.Dates.From.Month","Leave.Dates.From.Year","Leave.Dates.to.Date","Leave.Dates.to.Month","Leave.Dates.to.Year","From.my","To.my"
"VHR029","Forex Trader",0,0,0,1,0,0,0,1,2017-03-14,2017-03-14,2015-02-11,0,1,0,14,3,2017,14,3,2017,32017,32017
"VHR029","Forex Trader",0,1,0,0,0,0,0,1,2017-04-28,2017-04-28,2015-02-11,0,1,0,28,4,2017,28,4,2017,42017,42017
"VHR029","Forex Trader",0,0,0,1,0,0,0,3,2017-02-13,2017-02-15,2015-02-11,0,1,0,13,2,2017,15,2,2017,22017,22017
"VHR029","Forex Trader",0,0,0,1,0,0,0,1,2017-01-23,2017-01-23,2015-02-11,0,1,0,23,1,2017,23,1,2017,12017,12017
"VHR030","Forex Trader",0,0,0,1,0,0,0,1,2017-03-29,2017-03-29,2015-02-11,0,1,0,29,3,2017,29,3,2017,32017,32017
"VHR030","Forex Trader",0,1,0,0,0,0,0,0.5,2017-01-12,2017-01-12,2015-02-11,0,1,0,12,1,2017,12,1,2017,12017,12017
"VHR030","Forex Trader",0,1,0,0,0,0,0,0.5,2017-01-13,2017-01-13,2015-02-11,0,1,0,13,1,2017,13,1,2017,12017,12017
"VHR030","Forex Trader",0,0,0,0,0,1,0,2,2017-04-03,2017-04-04,2015-02-11,0,1,0,3,4,2017,4,4,2017,42017,42017
"VHR030","Forex Trader",0,0,0,1,0,0,0,4,2017-02-08,2017-02-13,2015-02-11,0,1,0,8,2,2017,13,2,2017,22017,22017
"VHR031","Forex Trader",0,0,0,1,0,0,0,1,2017-03-31,2017-03-31,2015-02-11,0,1,0,31,3,2017,31,3,2017,32017,32017
"VHR031","Forex Trader",0,0,0,1,0,0,0,1,2017-05-12,2017-05-12,2015-02-11,0,1,0,12,5,2017,12,5,2017,52017,52017
"VHR031","Forex Trader",0,1,0,0,0,0,0,1,2017-04-21,2017-04-21,2015-02-11,0,1,0,21,4,2017,21,4,2017,42017,42017
"VHR031","Forex Trader",0,0,0,1,0,0,0,1,2017-02-21,2017-02-21,2015-02-11,0,1,0,21,2,2017,21,2,2017,22017,22017
"VHR031","Forex Trader",0,1,0,0,0,0,0,0.5,2017-02-23,2017-02-23,2015-02-11,0,1,0,23,2,2017,23,2,2017,22017,22017
"VHR032","Forex Trader",0,0,0,1,0,0,0,4,2017-03-10,2017-03-16,2015-02-11,0,1,0,10,3,2017,16,3,2017,32017,32017
"VHR032","Forex Trader",0,0,0,1,0,0,0,0.5,2017-03-17,2017-03-17,2015-02-11,0,1,0,17,3,2017,17,3,2017,32017,32017
"VHR032","Forex Trader",0,1,0,0,0,0,0,0.5,2017-03-17,2017-03-17,2015-02-11,0,1,0,17,3,2017,17,3,2017,32017,32017
"VHR032","Forex Trader",0,1,0,0,0,0,0,0.5,2017-01-27,2017-01-27,2015-02-11,0,1,0,27,1,2017,27,1,2017,12017,12017
"VHR033","Forex Trader",0,1,0,0,0,0,0,0.5,2017-03-21,2017-03-21,2015-02-16,0,1,0,21,3,2017,21,3,2017,32017,32017
"VHR033","Forex Trader",0,0,0,1,0,0,0,3,2017-02-09,2017-02-13,2015-02-16,0,1,0,9,2,2017,13,2,2017,22017,22017
"VHR033","Forex Trader",0,0,0,1,0,0,0,1,2017-02-28,2017-02-28,2015-02-16,0,1,0,28,2,2017,28,2,2017,22017,22017
"VHR035","Forex Trader",0,0,0,1,0,0,0,3,2017-03-27,2017-03-29,2015-02-16,0,1,0,27,3,2017,29,3,2017,32017,32017
"VHR035","Forex Trader",0,0,0,1,0,0,0,1,2017-02-20,2017-02-20,2015-02-16,0,1,0,20,2,2017,20,2,2017,22017,22017
"VHR039","Forex Trader",0,0,0,1,0,0,0,1,2017-01-04,2017-01-04,2015-04-01,0,1,0,4,1,2017,4,1,2017,12017,12017
