Employee.ID,Designation,Type.of.Leave_Absent,Type.of.Leave_Casual Leave,Type.of.Leave_Casual Leave Confirmed COE,Type.of.Leave_Earned Leave,Type.of.Leave_Earned Leave Confirmed COE,Type.of.Leave_LWP,Type.of.Leave_Sick Leave,Leave.applied.for.no..of.days,Date.of.joining.the.company,Status.of.Leave_Absent,Status.of.Leave_Approved,Status.of.Leave_Rejected,From.my,To.my
VHR029,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,32017,32017
VHR029,Forex Trader,0,1,0,0,0,0,0,1,11-02-2015,0,1,0,42017,42017
VHR029,Forex Trader,0,0,0,1,0,0,0,3,11-02-2015,0,1,0,22017,22017
VHR029,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,12017,12017
VHR030,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,32017,32017
VHR030,Forex Trader,0,1,0,0,0,0,0,0.5,11-02-2015,0,1,0,12017,12017
VHR030,Forex Trader,0,1,0,0,0,0,0,0.5,11-02-2015,0,1,0,12017,12017
VHR030,Forex Trader,0,0,0,0,0,1,0,2,11-02-2015,0,1,0,42017,42017
VHR030,Forex Trader,0,0,0,1,0,0,0,4,11-02-2015,0,1,0,22017,22017
VHR031,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,32017,32017
VHR031,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,52017,52017
VHR031,Forex Trader,0,1,0,0,0,0,0,1,11-02-2015,0,1,0,42017,42017
VHR031,Forex Trader,0,0,0,1,0,0,0,1,11-02-2015,0,1,0,22017,22017
VHR031,Forex Trader,0,1,0,0,0,0,0,0.5,11-02-2015,0,1,0,22017,22017
VHR032,Forex Trader,0,0,0,1,0,0,0,4,11-02-2015,0,1,0,32017,32017
VHR032,Forex Trader,0,0,0,1,0,0,0,0.5,11-02-2015,0,1,0,32017,32017
VHR032,Forex Trader,0,1,0,0,0,0,0,0.5,11-02-2015,0,1,0,32017,32017
VHR032,Forex Trader,0,1,0,0,0,0,0,0.5,11-02-2015,0,1,0,12017,12017
VHR033,Forex Trader,0,1,0,0,0,0,0,0.5,16-02-2015,0,1,0,32017,32017
VHR033,Forex Trader,0,0,0,1,0,0,0,3,16-02-2015,0,1,0,22017,22017
VHR033,Forex Trader,0,0,0,1,0,0,0,1,16-02-2015,0,1,0,22017,22017
VHR035,Forex Trader,0,0,0,1,0,0,0,3,16-02-2015,0,1,0,32017,32017
VHR035,Forex Trader,0,0,0,1,0,0,0,1,16-02-2015,0,1,0,22017,22017
VHR039,Forex Trader,0,0,0,1,0,0,0,1,01-04-2015,0,1,0,12017,12017
VHR039,Forex Trader,0,0,0,1,0,0,0,1,01-04-2015,0,1,0,32017,32017
VHR039,Forex Trader,0,0,0,1,0,0,0,1,01-04-2015,0,1,0,52017,52017
VHR039,Forex Trader,0,0,0,1,0,0,0,4,01-04-2015,0,1,0,22017,22017
VHR039,Forex Trader,0,0,0,1,0,0,0,1,01-04-2015,0,1,0,12017,12017
VHR122,Trainee Dealer,0,0,0,1,0,0,0,2,15-06-2015,0,1,0,52017,52017
VHR122,Trainee Dealer,0,1,0,0,0,0,0,0.5,15-06-2015,0,1,0,32017,32017
VHR122,Trainee Dealer,0,0,0,1,0,0,0,0.5,15-06-2015,0,1,0,22017,22017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,1,20-07-2015,1,0,0,12017,12017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,2,20-07-2015,1,0,0,22017,22017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,1,20-07-2015,1,0,0,22017,22017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,0.5,20-07-2015,1,0,0,22017,22017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,2,20-07-2015,1,0,0,22017,22017
VHR126,Trainee Dealer,1,0,0,0,0,0,0,0.5,20-07-2015,1,0,0,42017,42017
VHR124,Trainee Dealer,0,0,0,1,0,0,0,2,20-07-2015,0,0,1,22017,22017
VHR124,Trainee Dealer,0,0,0,1,0,0,0,1,20-07-2015,0,0,1,32017,32017
VHR124,Trainee Dealer,0,1,0,0,0,0,0,0.5,20-07-2015,0,1,0,42017,42017
VHR124,Trainee Dealer,0,1,0,0,0,0,0,0.5,20-07-2015,0,1,0,42017,42017
VHR124,Trainee Dealer,0,1,0,0,0,0,0,2,20-07-2015,0,1,0,42017,42017
VHR124,Trainee Dealer,0,0,0,1,0,0,0,1,15-06-2015,0,1,0,52017,52017
VHR123,Trainee Dealer,0,0,0,0,0,0,1,0.5,15-06-2015,0,1,0,32017,32017
