Employee.ID,March_2017,April_2017,May_2017,feb_mar_sum,mar_apr_sum,apr_mar_diff,may_apr_diff
FXI101,-130.1,-341.4,-172.1,0,1.5,-211.3,169.3
FXI137,-179.3,-101.7,-30.7,0,1.5,77.6,71
FXI140,-202.4,-143.2,-53.4,10,6,59.2,89.8
FXI147,-144.1,-121.5,-131.3,2,2,22.6,-9.8
FXI153,-90.5,-78.5,-47.9,6,1.5,12,30.6
FXI158,-231.9,-107.4,-114,2,5,124.5,-6.6
FXI159,-154.2,-227,-84.4,3.5,4,-72.8,142.6
FXI160,-119.2,-212.7,-151.5,4,1,-93.5,61.2
FXI161,-107.2,-71.6,-196.6,2,10,35.6,-125
FXI162,-92.6,-91.5,-99.5,0,1.5,1.1,-8
FXI164,-103,-112.1,-117.5,4.5,1,-9.1,-5.4
FXI165,-104.1,-217.4,-176.5,0,1,-113.3,40.9
FXI166,-49,-206.8,-115.4,2,5,-157.8,91.4
FXI167,-115.9,-183.9,-109.4,1,1,-68,74.5
FXI168,-56.6,-140.2,-248.1,1,2.5,-83.6,-107.9
FXI169,-95.9,-169.5,-148.7,3,2,-73.6,20.8
FXI171,-64.4,-137.6,-61.5,4,1,-73.2,76.1
FXI172,-40.7,-101.5,-77.7,1.5,1,-60.8,23.8
FXI173,-152.7,-217.1,-458,0,1.5,-64.4,-240.9
FXI174,-59,-86,-189.9,5,5,-27,-103.9
FXI175,-108.4,-60,-237.4,10,0.5,48.4,-177.4
FXI176,-95.2,-106,-68,0,1,-10.8,38
FXI177,-87.5,-73.5,-107.1,1,3,14,-33.6
FXI178,-120.9,-193.9,-205,2,0.5,-73,-11.1
FXI179,-89.1,-137.3,-339.2,5,1.5,-48.2,-201.9
FXI180,-116.1,-221.1,-15.8,1,1,-105,205.3
FXI181,-86.1,-89.1,-158.5,1,1.5,-3,-69.4
FXI183,-76,-180.5,-439.9,1,1,-104.5,-259.4
FXI184,-77.9,-127,-94,2,3,-49.1,33
FXI185,-163,-263.1,-192.8,1,1,-100.1,70.3
FXI186,-,-,-,2,2,-,-
FXI187,-46.3,-131.7,-48.1,2,4,-85.4,83.6
FXI188,-44.1,-52.8,-76.7,2,11,-8.7,-23.9
FXI189,9.5,-116.8,-79.1,0,0,-126.3,37.7
FXI190,-76.7,-125.5,-188.7,3,4,-48.8,-63.2
FXI191,-40.2,-136.4,-72.9,1,3.5,-96.2,63.5
FXI192,-9.8,-122.2,-67.8,0,5.5,-112.4,54.4
FXI193,-44.6,-141.9,-53,0.5,0,-97.3,88.9
FXI195,-164.4,-321.2,-345.7,0,1,-156.8,-24.5
FXI196,-64.5,-156.5,-99.9,8.5,4,-92,56.6
FXI197,-105.1,-117.3,-122.4,1,1,-12.2,-5.1
FXI199,-96.4,-147.9,-100.7,4,2,-51.5,47.2
FXI200,-50.3,-208.3,-267.8,1,1,-158,-59.5
FXI201,-155.4,-190.5,-319.7,1,1,-35.1,-129.2
FXI202,-128,-191.5,-56.7,0,0,-63.5,134.8
FXI203,-88.5,-159,-119.4,0.5,0,-70.5,39.6
FXI204,-43.9,-82,-42.4,2,7.5,-38.1,39.6
FXI205,-110.2,-162.1,-132.9,0,0.5,-51.9,29.2
FXI206,-115.1,-117.1,-53,1,2.5,-2,64.1
FXI209,-185.7,-241.1,-204.1,1,2,-55.4,37
FXI210,-87.3,-288.5,-421.5,1,3,-201.2,-133
FXI211,-110.4,-109,-135.4,0,0,1.4,-26.4
FXI212,-104.1,-116.3,-135.9,1,3,-12.2,-19.6
FXI214,-52.8,-71.2,-101.1,0,4,-18.4,-29.9
FXI215,-63.1,-50.7,-84.8,3,7,12.4,-34.1
FXI216,-35,-185,-207.6,0,1,-150,-22.6
FXI217,-71.9,-52.3,-77.3,4,12,19.6,-25
FXI220,-102.7,-143.1,-80.6,1,1,-40.4,62.5
FXI221,-110.5,-132.4,-108.9,1,2,-21.9,23.5
FXI222,-160.8,-278.4,-170.9,2,0.5,-117.6,107.5
FXI223,-41.4,-172.8,-180.7,5,2.5,-131.4,-7.9
FXI224,-143.8,-272.5,-310.2,2,3.5,-128.7,-37.7
FXI227,-,-,-,0,9,-,-
FXI228,-,-,-,3,4,-,-
FXI229,-39.7,-97.8,-73.2,1,6.5,-58.1,24.6
FXI230,-8.5,-208.3,-98.6,3,5,-199.8,109.7
FXI231,-,-,-,5,6,-,-
FXI241,-65.8,-159.2,-111.5,2,1,-93.4,47.7
FXI242,-93.7,-110.5,-88.8,1,0,-16.8,21.7
FXI243,-147.6,-84.6,-80.2,2,3.5,63,4.4
FXI244,-39.4,-119.6,-221.6,0,4,-80.2,-102
FXI245,-72.5,-60.5,-95.8,2,3,12,-35.3
FXI246,-113.4,-107.8,-57.8,1,2,5.6,50
FXI253,-12.3,-47.6,-116.6,1.5,2,-35.3,-69
FXI262,-89.4,-98.5,-197.5,1,1.5,-9.1,-99
FXI263,-106,-85.4,-72.1,0,1,20.6,13.3
FXI264,-59,-160.3,-224.2,0,2,-101.3,-63.9
FXI265,-154.1,-258.8,-143.9,0,0.5,-104.7,114.9
FXI271,-86.8,-73,-136.3,1,1,13.8,-63.3
FXI280,-39.5,-150.1,-62.4,4,6,-110.6,87.7
FXI292,-118.2,-117.9,-59.4,1,1,0.3,58.5
FXI293,-87.7,-183.2,-221,0,3,-95.5,-37.8
FXI294,-53.3,-74.1,-180.1,1,0.5,-20.8,-106
FXI298,-73.8,-83.5,-114.4,0,1,-9.7,-30.9
FXI299,-54.4,-126.9,-95.1,1,3,-72.5,31.8
