"Employee.ID","Designation","Type.of.Leave_Absent","Type.of.Leave_Casual Leave","Type.of.Leave_Casual Leave Confirmed COE","Type.of.Leave_Earned Leave","Type.of.Leave_Earned Leave Confirmed COE","Type.of.Leave_LWP","Type.of.Leave_Sick Leave","Leave.applied.for.no..of.days","Leave.Dates.From","Leave.Dates.to","Date.of.joining.the.company","Status.of.Leave_Absent","Status.of.Leave_Approved","Status.of.Leave_Rejected","Leave.Dates.From.Date","Leave.Dates.From.Month","Leave.Dates.From.Year","Leave.Dates.to.Date","Leave.Dates.to.Month","Leave.Dates.to.Year","From.my","To.my"
"VHR030","Forex Trader",0,0,0,1,0,0,0,3,2017-03-30,2017-04-01,2015-02-11,0,1,0,30,3,2017,1,4,2017,32017,42017
"VHR031","Forex Trader",0,0,0,1,0,0,0,2,2017-01-30,2017-02-01,2015-02-11,0,1,0,30,1,2017,1,2,2017,12017,22017
"VHR123","Trainee Dealer",0,1,0,0,0,0,0,1.5,2017-03-31,2017-04-03,2015-06-15,0,1,0,31,3,2017,3,4,2017,32017,42017
"VHR161","Trainee Dealer",0,0,0,0,0,1,0,15,2017-01-20,2017-02-10,2015-06-13,0,1,0,20,1,2017,10,2,2017,12017,22017
"VHR147","Trainee Dealer",0,0,0,0,0,1,0,3,2017-01-31,2017-02-02,2015-06-15,0,1,0,31,1,2017,2,2,2017,12017,22017
"VHR185","Trainee Dealer",0,0,0,0,0,1,0,0.5,2017-01-31,2017-02-01,2015-07-20,0,1,0,31,1,2017,1,2,2017,12017,22017
"VHR186","Trainee Dealer",0,0,0,0,0,1,0,14,2017-02-13,2017-03-03,2015-07-20,0,1,0,13,2,2017,3,3,2017,22017,32017
"VHR195","Trainee Dealer",0,0,0,1,0,0,0,4,2017-02-28,2017-03-03,2016-06-01,0,1,0,28,2,2017,3,3,2017,22017,32017
"VHR222","Trainee Dealer",0,0,0,0,0,1,0,20,2017-04-03,2017-06-28,2016-02-01,0,0,1,3,4,2017,28,6,2017,42017,62017
"VHR223","Trainee Dealer",0,0,0,0,0,1,0,13,2017-05-17,2017-06-02,2016-01-25,0,1,0,17,5,2017,2,6,2017,52017,62017
"VHR227","Trainee Dealer",0,0,0,0,0,1,0,2,2017-02-28,2017-03-01,2015-09-24,0,1,0,28,2,2017,1,3,2017,22017,32017
"VHR224","Trainee Dealer",0,0,0,0,0,1,0,5,2017-01-30,2017-02-03,2015-11-25,0,1,0,30,1,2017,3,2,2017,12017,22017
"VHR224","Trainee Dealer",1,0,0,0,0,0,0,11,2017-01-24,2017-02-08,2015-11-25,1,0,0,24,1,2017,8,2,2017,12017,22017
"VHR250","Trainee Dealer",0,0,0,0,0,1,0,4,2017-02-27,2017-03-02,2016-07-01,0,1,0,27,2,2017,2,3,2017,22017,32017
"VHR251","Trainee Dealer",0,0,0,0,0,1,0,7,2017-01-25,2017-02-03,2016-07-01,0,1,0,25,1,2017,3,2,2017,12017,22017
"FXI171","Intern - Big Data Analytics",0,0,0,0,0,1,0,2,2017-02-28,2017-03-01,2016-12-01,0,1,0,28,2,2017,1,3,2017,22017,32017
"FXI175","Intern - Big Data Analytics",0,0,0,0,0,1,0,9,2017-02-27,2017-03-10,2016-12-08,0,1,0,27,2,2017,10,3,2017,22017,32017
"FXI212","Intern - Big Data Analytics",0,0,0,0,0,1,0,11,2017-05-26,2017-06-09,2017-01-02,0,0,1,26,5,2017,9,6,2017,52017,62017
"FXI221","Intern - Big Data Analytics",0,0,0,0,0,1,0,13,2017-05-23,2017-06-08,2017-01-05,0,1,0,23,5,2017,8,6,2017,52017,62017
