Employee.ID,Designation,Type.of.Leave_Absent,Type.of.Leave_Casual Leave,Type.of.Leave_Casual Leave Confirmed COE,Type.of.Leave_Earned Leave,Type.of.Leave_Earned Leave Confirmed COE,Type.of.Leave_LWP,Type.of.Leave_Sick Leave,Leave.applied.for.no..of.days,Leave.Dates.From,Leave.Dates.to,Date.of.joining.the.company,Status.of.Leave_Absent,Status.of.Leave_Approved,Status.of.Leave_Rejected,Leave.Dates.From.Date,Leave.Dates.From.Month,Leave.Dates.From.Year,Leave.Dates.to.Date,Leave.Dates.to.Month,Leave.Dates.to.Year,From.my,To.my
FXI171,Intern - Big Data Analytics,0,0,0,0,0,1,0,1,28-02-2017,28-02-2017,01-12-2016,0,1,0,28,2,2017,28,2,2017,22017,22017
FXI171,Intern - Big Data Analytics,0,0,0,0,0,1,0,1,01-03-2017,01-03-2017,01-12-2016,0,1,0,1,3,2017,1,3,2017,32017,32017
FXI175,Intern - Big Data Analytics,0,0,0,0,0,1,0,1,27-02-2017,28-02-2017,08-12-2016,0,1,0,27,2,2017,28,2,2017,22017,22017
FXI175,Intern - Big Data Analytics,0,0,0,0,0,1,0,8,01-03-2017,10-03-2017,08-12-2016,0,1,0,1,3,2017,10,3,2017,32017,32017
FXI212,Intern - Big Data Analytics,0,0,0,0,0,1,0,4,26-05-2017,31-05-2017,02-01-2017,0,0,1,26,5,2017,31,5,2017,52017,52017
FXI212,Intern - Big Data Analytics,0,0,0,0,0,1,0,7,01-06-2017,09-06-2017,02-01-2017,0,0,1,1,6,2017,9,6,2017,62017,62017
FXI221,Intern - Big Data Analytics,0,0,0,0,0,1,0,7,23-05-2017,31-05-2017,05-01-2017,0,1,0,23,5,2017,31,5,2017,52017,52017
FXI221,Intern - Big Data Analytics,0,0,0,0,0,1,0,6,01-06-2017,08-06-2017,05-01-2017,0,1,0,1,6,2017,8,6,2017,62017,62017
VHR030,Forex Trader,0,0,0,1,0,0,0,2,30-03-2017,31-03-2017,11-02-2015,0,1,0,30,3,2017,31,3,2017,32017,32017
VHR030,Forex Trader,0,0,0,1,0,0,0,1,01-04-2017,01-04-2017,11-02-2015,0,1,0,1,4,2017,1,4,2017,42017,42017
VHR031,Forex Trader,0,0,0,1,0,0,0,1,30-01-2017,31-01-2017,11-02-2015,0,1,0,30,1,2017,31,1,2017,12017,12017
VHR031,Forex Trader,0,0,0,1,0,0,0,1,01-02-2017,01-02-2017,11-02-2015,0,1,0,1,2,2017,1,2,2017,22017,22017
VHR123,Trainee Dealer,0,1,0,0,0,0,0,0.5,31-03-2017,31-03-2017,15-06-2015,0,1,0,31,3,2017,31,3,2017,32017,32017
VHR123,Trainee Dealer,0,1,0,0,0,0,0,1,03-04-2017,03-04-2017,15-06-2015,0,1,0,3,4,2017,3,4,2017,42017,42017
VHR147,Trainee Dealer,0,0,0,0,0,1,0,1,31-01-2017,31-01-2017,15-06-2015,0,1,0,31,1,2017,31,1,2017,12017,12017
VHR147,Trainee Dealer,0,0,0,0,0,1,0,2,01-02-2017,02-02-2017,15-06-2015,0,1,0,1,2,2017,2,2,2017,22017,22017
VHR161,Trainee Dealer,0,0,0,0,0,1,0,8,20-01-2017,31-01-2017,13-06-2015,0,1,0,20,1,2017,31,1,2017,12017,12017
VHR161,Trainee Dealer,0,0,0,0,0,1,0,7,01-02-2017,10-02-2017,13-06-2015,0,1,0,1,2,2017,10,2,2017,22017,22017
VHR185,Trainee Dealer,0,0,0,0,0,1,0,0.5,01-02-2017,01-02-2017,20-07-2015,0,1,0,1,2,2017,1,2,2017,22017,22017
VHR186,Trainee Dealer,0,0,0,0,0,1,0,11,13-02-2017,28-02-2017,20-07-2015,0,1,0,13,2,2017,28,2,2017,22017,22017
VHR186,Trainee Dealer,0,0,0,0,0,1,0,3,01-03-2017,03-03-2017,20-07-2015,0,1,0,1,3,2017,3,3,2017,32017,32017
VHR195,Trainee Dealer,0,0,0,1,0,0,0,1,28-02-2017,28-02-2017,01-06-2016,0,1,0,28,2,2017,28,2,2017,22017,22017
VHR195,Trainee Dealer,0,0,0,1,0,0,0,3,01-03-2017,03-03-2017,01-06-2016,0,1,0,1,3,2017,3,3,2017,32017,32017
VHR222,Trainee Dealer,0,0,0,0,0,1,0,20,03-04-2017,28-04-2017,01-02-2016,0,0,1,3,4,2017,28,4,2017,42017,42017
VHR223,Trainee Dealer,0,0,0,0,0,1,0,11,17-05-2017,31-05-2017,25-01-2016,0,1,0,17,5,2017,31,5,2017,52017,52017
VHR223,Trainee Dealer,0,0,0,0,0,1,0,2,01-06-2017,02-06-2017,25-01-2016,0,1,0,1,6,2017,2,6,2017,62017,62017
VHR224,Trainee Dealer,0,0,0,0,0,1,0,2,30-01-2017,31-01-2017,25-11-2015,0,1,0,30,1,2017,31,1,2017,12017,12017
VHR224,Trainee Dealer,1,0,0,0,0,0,0,3,24-01-2017,27-01-2017,25-11-2015,1,0,0,24,1,2017,27,1,2017,12017,12017
VHR224,Trainee Dealer,0,0,0,0,0,1,0,3,01-02-2017,03-02-2017,25-11-2015,0,1,0,1,2,2017,3,2,2017,22017,22017
VHR224,Trainee Dealer,1,0,0,0,0,0,0,3,06-02-2017,08-02-2017,25-11-2015,1,0,0,6,2,2017,8,2,2017,22017,22017
VHR227,Trainee Dealer,0,0,0,0,0,1,0,1,28-02-2017,28-02-2017,24-09-2015,0,1,0,28,2,2017,28,2,2017,22017,22017
VHR227,Trainee Dealer,0,0,0,0,0,1,0,1,01-03-2017,01-03-2017,24-09-2015,0,1,0,1,3,2017,1,3,2017,32017,32017
VHR250,Trainee Dealer,0,0,0,0,0,1,0,2,27-02-2017,28-02-2017,01-07-2016,0,1,0,27,2,2017,28,2,2017,22017,22017
VHR250,Trainee Dealer,0,0,0,0,0,1,0,2,01-03-2017,02-03-2017,01-07-2016,0,1,0,1,3,2017,2,3,2017,32017,32017
VHR251,Trainee Dealer,0,0,0,0,0,1,0,4.5,25-01-2017,31-01-2017,01-07-2016,0,1,0,25,1,2017,31,1,2017,12017,12017
VHR251,Trainee Dealer,0,0,0,0,0,1,0,2.5,01-02-2017,03-02-2017,01-07-2016,0,1,0,1,2,2017,3,2,2017,22017,22017
