Employee.ID,March_2017,April_2017,May_2017
VHR194,-135.4,-94.9,-71.8
VHR221,-197.3,-4.5,-113.6
VHR222,-133.8,,-152.7
VHR260,-155.7,-45.3,-171.9
VHR147,-155.8,-187,-120.5
VHR184,-164.6,-89.1,-58.7
VHR182,-143.5,-132.2,-123.5
VHR251,,,
VHR249,-90.1,-190.5,-159.4
VHR250,-152.2,-80.1,-145.7
VHR264,-103.3,-61,-149.7
VHR258,-400.1,-129.1,-51.1
VHR153,-103.4,-340.4,7.7
VHR155,-236.8,-236.1,-286.3
VHR277,-213.8,-145.2,-140.8
VHR275,-136.9,-147.6,-187.6
VHR273,-118.9,-98.7,-98.1
VHR226,-173.4,-265.2,-165.6
VHR227,-179.3,-121.2,-264.8
VHR217,-145.9,-159.4,-85.7
VHR253,-122,-176.3,-122.4
VHR161,-206.5,-122.6,-113.5
VHR165,-67.4,-138.1,-110.5
VHR162,-162.3,-171.4,-61.5
VHR252,-104.3,-162.6,-50.7
VHR279,-139.4,-147.8,-157.1
VHR269,-148.6,-85.9,-148.9
VHR263,-106.2,-63.2,-51.6
VHR276,-143.5,-214,-99.5
VHR189,-201.7,-103,-126.2
VHR187,-181.7,-101.9,-137.2
VHR195,-241.3,-143.2,-153.1
VHR183,-104.9,-186.4,-191.5
VHR191,-140.7,-89,-109.2
VHR192,-101.3,-177.7,-144.7
VHR265,-142,-76.8,-134.1
VHR267,-135.5,-74.7,-73.1
VHR163,-215,-63.8,-171.9
VHR152,-38.8,-95.3,-93.6
VHR216,-176,-93.2,-10.3
VHR149,-119.2,-133.6,-122.3
VHR158,-175.8,-103.1,-284.8
VHR208,-107.2,-110.6,-75.5
VHR233,-309.1,-44.5,-237.2
VHR235,-172.3,-91.2,-114
VHR281,-140.2,-105.2,-120
VHR214,-112.7,-237.5,-203.8
VHR224,-183.8,-184.4,-102.7
VHR272,-151.6,-95.1,-102
VHR270,,On Leave,-89
VHR127,-88.2,-210.6,-189.7
VHR136,-143.7,-130.6,-112.8
VHR280,-154.4,-120.3,-121.9
VHR271,-183.6,-181.2,-67.4
VHR193,-171.7,-126.8,-73.6
VHR223,-239.9,-168.6,7.7
VHR231,-191.6,-87.4,-92
VHR124,-152.5,-130.9,-165.9
VHR207,-167.9,-106.5,-64.5
VHR151,-250.8,-159,-265.9
VHR154,-242.2,-138.7,-71.3
VHR256,-178,-120,-65.5
VHR212,-86.6,-13.6,-335.7
VHR190,-106,-167.6,-175.3
VHR186,-149.9,-104.1,-139.5
VHR210,-78.8,-128.6,-141
VHR144,-164.1,-3.7,-208.5
VHR213,-124.1,-166,-169.2
VHR218,-234.8,-142.6,-80
VHR254,-222.2,-63.8,-236.6
VHR259,-276.3,-114.2,-147.9
VHR126,,-179.1,-183
VHR123,-131.7,-206.9,-108.8
VHR122,-109.5,-184.1,-198.6
VHR128,-110.6,-131,-133.2
VHR135,-150.1,-38.8,-49.9
VHR137,,-103.5,-210.2
VHR141,-118.9,-72.3,-147.1
VHR143,-168.7,-53.7,-101.8
VHR148,-150.2,-107.8,-92.2
VHR159,-281.4,-136.8,38.1
VHR185,-185.3,-126.3,-87.8
VHR205,-170.1,-124.8,-101.2
VHR211,-67.5,-74.4,-37.4
VHR209,-170.5,-143.9,-28
VHR219,-130.2,-243.8,-205.1
VHR220,-196.5,-162.1,-118.3
VHR215,-290.8,-186.6,-255.1
VHR232,-118.9,-122.4,-77.6
VHR236,-133.9,-70.9,-48.5
VHR145,-248.5,-166.5,-54.9
